"sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","nursery","internet","school","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","higher","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","alc_use","high_use"
"18","F",16,"U","GT3","T",3,3,"other","other","reputation","yes","no","GP","mother",3,2,0,"yes","yes","no","yes","yes","no",5,3,2,1,1,4,3,10,12,12,1,FALSE
"19","M",17,"U","GT3","T",3,2,"services","services","course","yes","yes","GP","mother",1,1,3,"no","yes","no","yes","yes","no",5,5,5,2,4,5,9,7,6,6,3,TRUE
"20","M",16,"U","LE3","T",4,3,"health","other","home","yes","yes","GP","father",1,1,0,"no","no","yes","yes","yes","no",3,1,3,1,3,5,5,10,11,11,2,FALSE
"21","M",15,"U","GT3","T",4,3,"teacher","other","reputation","yes","yes","GP","mother",1,2,0,"no","no","no","no","yes","no",4,4,1,1,1,1,0,12,14,14,1,FALSE
"22","M",15,"U","GT3","T",4,4,"health","health","other","yes","yes","GP","father",1,1,0,"no","yes","yes","no","yes","no",5,4,2,1,1,5,0,12,14,14,1,FALSE
"23","M",16,"U","LE3","T",4,2,"teacher","other","course","yes","yes","GP","mother",1,2,0,"no","no","no","yes","yes","no",4,5,1,1,3,5,1,14,14,15,2,FALSE
"24","M",16,"U","LE3","T",2,2,"other","other","reputation","yes","yes","GP","mother",2,2,0,"no","yes","no","yes","yes","no",5,4,4,2,4,5,1,12,12,11,3,TRUE
"25","F",15,"R","GT3","T",2,4,"services","health","course","yes","yes","GP","mother",1,3,0,"yes","yes","yes","yes","yes","no",4,3,2,1,1,5,2,10,10,9,1,FALSE
"26","F",16,"U","GT3","T",2,2,"services","services","home","no","yes","GP","mother",1,1,1,"no","yes","yes","no","yes","no",1,2,2,1,3,5,10,8,10,10,2,FALSE
"27","M",15,"U","GT3","T",2,2,"other","other","home","yes","yes","GP","mother",1,1,0,"no","yes","yes","no","yes","no",4,2,2,1,2,5,5,12,12,12,1.5,FALSE
"28","M",15,"U","GT3","T",4,2,"health","services","other","yes","yes","GP","mother",1,1,0,"no","no","yes","no","yes","no",2,2,4,2,4,1,2,13,14,13,3,TRUE
"29","M",16,"U","LE3","A",3,4,"services","other","home","yes","yes","GP","mother",1,2,0,"yes","yes","no","yes","yes","no",5,3,3,1,1,5,3,12,12,12,1,FALSE
"30","M",16,"U","GT3","T",4,4,"teacher","teacher","home","yes","yes","GP","mother",1,2,0,"no","yes","yes","yes","yes","yes",4,4,5,5,5,5,10,11,12,12,5,TRUE
"31","M",15,"U","GT3","T",4,4,"health","services","home","no","yes","GP","mother",1,2,0,"no","yes","yes","no","yes","no",5,4,2,3,4,5,0,10,11,12,3.5,TRUE
"32","M",15,"U","GT3","T",4,4,"services","services","reputation","yes","yes","GP","mother",2,2,0,"no","yes","no","yes","yes","no",4,3,1,1,1,5,1,16,16,16,1,FALSE
"33","M",15,"R","GT3","T",4,3,"teacher","at_home","course","yes","yes","GP","mother",1,2,0,"no","yes","no","yes","yes","yes",4,5,2,1,1,5,0,15,15,16,1,FALSE
"34","M",15,"U","LE3","T",3,3,"other","other","course","no","yes","GP","mother",1,2,0,"no","no","no","yes","yes","no",5,3,2,1,1,2,0,10,11,12,1,FALSE
"35","M",16,"U","GT3","T",3,2,"other","other","home","no","yes","GP","mother",1,1,0,"no","yes","yes","no","yes","no",5,4,3,1,1,5,2,12,13,14,1,FALSE
"36","F",15,"U","GT3","T",2,3,"other","other","other","yes","no","GP","father",2,1,0,"no","yes","no","yes","yes","no",3,5,1,1,1,5,2,10,9,8,1,FALSE
"37","M",15,"U","LE3","T",4,3,"teacher","services","home","yes","yes","GP","mother",1,3,0,"no","yes","no","yes","yes","no",5,4,3,1,1,4,1,14,15,16,1,FALSE
"38","M",16,"R","GT3","A",4,4,"other","teacher","reputation","yes","yes","GP","mother",2,3,0,"no","yes","no","yes","yes","yes",2,4,3,1,1,5,6,14,14,14,1,FALSE
"39","F",15,"R","GT3","T",3,4,"services","health","course","yes","yes","GP","mother",1,3,0,"yes","yes","yes","yes","yes","no",4,3,2,1,1,5,2,12,12,12,1,FALSE
"40","F",15,"R","GT3","T",2,2,"at_home","other","reputation","yes","no","GP","mother",1,1,0,"yes","yes","yes","yes","yes","no",4,3,1,1,1,2,8,14,13,12,1,FALSE
"41","F",16,"U","LE3","T",2,2,"other","other","home","no","yes","GP","mother",2,2,0,"no","yes","no","yes","yes","yes",3,3,3,1,2,3,20,9,10,10,1.5,FALSE
"42","M",15,"U","LE3","T",4,4,"teacher","other","home","no","yes","GP","other",1,1,0,"no","yes","no","no","yes","yes",5,4,3,2,4,5,8,11,12,12,3,TRUE
"43","M",15,"U","GT3","T",4,4,"services","teacher","course","yes","yes","GP","father",1,2,0,"no","yes","no","yes","yes","no",4,3,3,1,1,5,1,16,16,16,1,FALSE
"44","M",15,"U","GT3","T",2,2,"services","services","course","yes","yes","GP","father",1,1,0,"yes","yes","no","no","yes","no",5,4,1,1,1,1,0,8,9,10,1,FALSE
"45","F",16,"U","LE3","T",2,2,"other","at_home","course","yes","yes","GP","father",2,2,1,"yes","no","no","yes","yes","no",4,3,3,2,2,5,14,10,10,10,2,FALSE
"46","F",15,"U","LE3","A",4,3,"other","other","course","yes","yes","GP","mother",1,2,0,"yes","yes","yes","yes","yes","yes",5,2,2,1,1,5,6,9,10,8,1,FALSE
"47","F",16,"U","LE3","A",3,3,"other","services","home","yes","yes","GP","mother",1,2,0,"no","yes","no","no","yes","no",2,3,5,1,4,3,9,12,12,12,2.5,TRUE
"48","M",16,"U","GT3","T",4,3,"health","services","reputation","yes","yes","GP","mother",1,4,0,"no","no","no","yes","yes","no",4,2,2,1,1,2,3,18,18,18,1,FALSE
"49","M",15,"U","GT3","T",4,2,"teacher","other","home","yes","no","GP","mother",1,2,0,"no","yes","yes","no","yes","no",4,3,3,2,2,5,3,13,14,14,2,FALSE
"50","F",15,"U","GT3","T",4,4,"services","teacher","other","no","yes","GP","father",1,2,0,"yes","yes","no","yes","yes","no",4,4,4,1,1,3,2,10,10,10,1,FALSE
"51","F",16,"U","LE3","T",2,2,"services","services","course","yes","yes","GP","mother",3,2,0,"no","yes","yes","no","yes","no",4,3,3,2,3,4,1,13,13,13,2.5,TRUE
"52","F",15,"U","LE3","T",4,2,"health","other","other","yes","yes","GP","mother",1,2,0,"no","yes","yes","no","yes","no",4,3,3,1,1,5,1,14,14,14,1,FALSE
"53","M",15,"U","LE3","A",4,2,"health","health","other","yes","no","GP","father",2,1,0,"no","no","no","no","yes","no",5,5,5,3,4,5,5,10,10,10,3.5,TRUE
"54","F",15,"U","GT3","T",4,4,"services","services","course","yes","yes","GP","mother",1,1,0,"yes","yes","yes","no","yes","no",3,3,4,2,3,5,0,10,11,12,2.5,TRUE
"55","F",15,"U","LE3","A",3,3,"other","other","other","yes","yes","GP","mother",1,1,0,"no","no","yes","no","yes","no",5,3,4,4,4,1,3,12,12,13,4,TRUE
"56","F",16,"U","GT3","A",2,1,"other","other","other","yes","yes","GP","mother",1,2,0,"no","no","yes","yes","yes","yes",5,3,4,1,1,2,5,10,11,11,1,FALSE
"57","F",15,"U","GT3","A",4,3,"services","services","reputation","yes","yes","GP","mother",1,2,0,"no","yes","yes","yes","yes","no",4,3,2,1,1,1,0,14,14,15,1,FALSE
"58","M",15,"U","GT3","T",4,4,"teacher","health","reputation","yes","no","GP","mother",1,2,0,"no","yes","no","yes","yes","no",3,2,2,1,1,5,6,14,15,16,1,FALSE
"59","M",15,"U","LE3","T",1,2,"other","at_home","home","yes","yes","GP","father",1,2,0,"yes","yes","no","yes","yes","no",4,3,2,1,1,5,1,12,12,12,1,FALSE
"60","F",16,"U","GT3","T",4,2,"services","other","course","yes","yes","GP","mother",1,2,0,"no","yes","no","no","yes","no",4,2,3,1,1,5,2,16,16,16,1,FALSE
"61","F",16,"R","GT3","T",4,4,"health","teacher","other","yes","no","GP","mother",1,2,0,"no","yes","no","yes","yes","no",2,4,4,2,3,4,3,14,14,14,2.5,TRUE
"62","F",16,"U","GT3","T",1,1,"services","services","course","no","yes","GP","father",4,1,0,"yes","yes","no","yes","yes","yes",5,5,5,5,5,5,3,10,9,14,5,TRUE
"63","F",16,"U","LE3","T",1,2,"other","services","reputation","yes","yes","GP","father",1,2,0,"yes","no","no","yes","yes","no",4,4,3,1,1,1,2,10,12,10,1,FALSE
"64","F",16,"U","GT3","T",4,3,"teacher","health","home","yes","yes","GP","mother",1,3,0,"yes","yes","yes","yes","yes","no",3,4,4,2,4,4,1,12,11,11,3,TRUE
"65","F",15,"U","LE3","T",4,3,"services","services","reputation","yes","yes","GP","father",1,2,0,"yes","no","no","yes","yes","yes",4,4,4,2,4,2,0,12,11,11,3,TRUE
"66","F",16,"U","LE3","T",4,3,"teacher","services","course","yes","yes","GP","mother",3,2,0,"no","yes","no","yes","yes","no",5,4,3,1,2,1,2,16,15,16,1.5,FALSE
"67","M",15,"U","GT3","A",4,4,"other","services","reputation","no","yes","GP","mother",1,4,0,"no","yes","no","yes","yes","yes",1,3,3,5,5,3,2,12,12,12,5,TRUE
"68","F",16,"U","GT3","T",3,1,"services","other","course","yes","yes","GP","mother",1,4,0,"yes","yes","yes","no","yes","no",4,3,3,1,2,5,2,8,8,8,1.5,FALSE
"69","F",15,"R","LE3","T",2,2,"health","services","reputation","yes","yes","GP","mother",2,2,0,"yes","yes","yes","no","yes","no",4,1,3,1,3,4,1,10,10,10,2,FALSE
"70","F",15,"R","LE3","T",3,1,"other","other","reputation","no","yes","GP","father",2,4,0,"no","yes","no","no","yes","no",4,4,2,2,3,3,9,16,16,16,2.5,TRUE
"71","M",16,"U","GT3","T",3,1,"other","other","reputation","yes","yes","GP","father",2,4,0,"no","yes","yes","no","yes","no",4,3,2,1,1,5,1,13,13,13,1,FALSE
"72","M",15,"U","GT3","T",4,2,"other","other","course","yes","yes","GP","mother",1,4,0,"no","no","no","no","yes","no",3,3,3,1,1,3,0,10,10,10,1,FALSE
"73","F",15,"R","GT3","T",1,1,"other","other","reputation","no","yes","GP","mother",1,2,1,"yes","yes","no","no","yes","yes",3,3,4,2,4,5,2,10,8,8,3,TRUE
"74","M",16,"U","GT3","T",3,1,"other","other","reputation","yes","no","GP","mother",1,1,0,"no","no","no","yes","yes","no",5,3,2,2,2,5,1,12,12,14,2,FALSE
"75","F",16,"U","GT3","T",3,3,"other","services","home","yes","yes","GP","mother",1,2,0,"yes","yes","yes","yes","yes","no",4,3,3,2,4,5,29,11,12,11,3,TRUE
"76","M",15,"U","GT3","T",4,3,"teacher","other","home","yes","yes","GP","mother",1,2,0,"no","yes","yes","yes","yes","no",4,3,3,2,3,5,3,10,10,10,2.5,TRUE
"77","M",15,"U","GT3","T",4,0,"teacher","other","course","yes","yes","GP","mother",2,4,0,"no","no","no","yes","yes","no",3,4,3,1,1,1,4,12,11,10,1,FALSE
"78","F",16,"U","GT3","T",2,2,"other","other","reputation","yes","yes","GP","mother",1,4,0,"no","no","yes","no","yes","yes",5,2,3,1,3,3,0,12,12,12,2,FALSE
"79","M",17,"U","GT3","T",2,1,"other","other","home","yes","yes","GP","mother",2,1,3,"yes","yes","no","yes","no","no",4,5,1,1,1,3,1,8,8,10,1,FALSE
"80","M",17,"U","GT3","T",2,1,"other","other","home","yes","yes","GP","mother",2,1,2,"yes","yes","no","yes","no","no",4,4,3,1,2,4,12,8,8,8,1.5,FALSE
"81","F",16,"U","GT3","T",3,4,"at_home","other","course","yes","yes","GP","mother",1,2,0,"no","yes","no","no","yes","no",2,4,3,1,2,3,13,8,8,8,1.5,FALSE
"82","M",15,"U","GT3","T",2,3,"other","services","course","no","yes","GP","father",1,1,0,"yes","yes","yes","yes","yes","yes",3,2,2,1,3,3,1,10,12,12,2,FALSE
"83","M",15,"U","GT3","T",2,3,"other","other","home","no","yes","GP","mother",1,3,0,"yes","no","yes","no","yes","no",5,3,2,1,2,5,3,10,10,10,1.5,FALSE
"84","F",15,"U","LE3","T",3,2,"services","other","reputation","yes","yes","GP","mother",1,2,0,"no","yes","yes","no","yes","no",4,4,4,1,1,5,7,10,8,8,1,FALSE
"85","M",15,"U","LE3","T",2,2,"services","services","home","yes","yes","GP","mother",2,2,0,"no","no","yes","yes","yes","no",5,3,3,1,3,4,3,14,14,14,2,FALSE
"86","F",15,"U","GT3","T",1,1,"other","other","home","no","yes","GP","father",1,2,0,"no","yes","no","yes","yes","no",4,3,2,2,3,4,2,11,11,11,2.5,TRUE
"87","F",15,"U","GT3","T",4,4,"services","services","reputation","yes","yes","GP","father",2,2,1,"no","no","yes","no","yes","yes",4,4,4,2,3,5,5,10,10,10,2.5,TRUE
"88","F",16,"U","LE3","T",2,2,"at_home","other","course","yes","no","GP","mother",1,2,0,"no","yes","no","no","yes","no",4,3,4,1,2,2,5,10,9,8,1.5,FALSE
"89","F",15,"U","GT3","T",4,2,"other","other","reputation","yes","yes","GP","mother",1,3,0,"no","yes","no","yes","yes","no",5,3,3,1,3,1,4,14,14,14,2,FALSE
"90","M",16,"U","GT3","T",2,2,"services","other","reputation","no","yes","GP","father",2,2,0,"no","no","yes","yes","yes","no",4,4,2,1,1,3,9,12,10,10,1,FALSE
"91","M",16,"U","LE3","A",4,4,"teacher","health","reputation","yes","no","GP","mother",1,2,0,"no","yes","no","no","yes","no",4,1,3,3,5,5,12,8,8,8,4,TRUE
"92","F",16,"U","GT3","T",3,3,"other","other","home","yes","yes","GP","mother",1,3,0,"no","yes","yes","no","yes","yes",4,3,3,1,3,4,1,8,9,10,2,FALSE
"93","F",15,"U","GT3","T",4,3,"services","other","reputation","yes","yes","GP","mother",1,1,0,"no","no","yes","yes","yes","no",4,5,5,1,3,1,5,15,15,16,2,FALSE
"94","F",16,"U","LE3","T",3,1,"other","other","home","yes","no","GP","father",1,2,0,"yes","yes","no","no","yes","no",3,3,3,2,3,2,2,10,10,9,2.5,TRUE
"95","F",16,"U","GT3","T",4,2,"teacher","services","home","yes","yes","GP","mother",2,2,0,"no","yes","yes","yes","yes","no",5,3,3,1,1,1,1,12,12,12,1,FALSE
"96","M",15,"U","LE3","T",2,2,"services","health","reputation","yes","yes","GP","mother",1,4,0,"no","yes","no","yes","yes","no",4,3,4,1,1,4,4,11,12,13,1,FALSE
"97","F",15,"R","GT3","T",1,1,"at_home","other","home","yes","yes","GP","mother",2,4,0,"yes","yes","yes","yes","yes","no",3,1,2,1,1,1,3,10,12,12,1,FALSE
"98","F",15,"R","GT3","T",1,1,"at_home","other","home","yes","yes","GP","mother",2,3,0,"yes","yes","yes","yes","yes","no",4,2,2,1,1,2,2,9,10,10,1,FALSE
"99","M",16,"R","GT3","T",4,3,"services","other","reputation","no","yes","GP","mother",2,1,0,"yes","yes","no","yes","yes","no",3,3,3,1,1,4,4,10,13,13,1,FALSE
"100","F",16,"U","GT3","T",2,1,"other","other","course","yes","no","GP","mother",1,2,0,"no","yes","yes","no","yes","yes",4,3,5,1,1,5,1,10,10,11,1,FALSE
"101","F",16,"U","GT3","T",4,4,"other","other","reputation","no","yes","GP","mother",1,1,0,"no","no","no","yes","yes","no",5,3,4,1,2,1,5,12,14,14,1.5,FALSE
"102","F",16,"U","GT3","T",4,3,"other","at_home","course","yes","yes","GP","mother",1,3,0,"yes","yes","yes","no","yes","no",5,3,5,1,1,3,1,10,11,10,1,FALSE
"103","M",16,"U","GT3","T",4,4,"services","services","other","yes","yes","GP","mother",1,1,0,"yes","yes","yes","yes","yes","no",4,5,5,5,5,4,13,8,8,6,5,TRUE
"104","M",16,"U","GT3","T",4,4,"services","teacher","other","yes","yes","GP","father",1,3,0,"no","yes","no","yes","yes","yes",4,4,3,1,1,4,0,16,16,16,1,FALSE
"105","M",15,"U","GT3","T",4,4,"services","other","course","no","yes","GP","mother",1,1,0,"no","yes","no","yes","yes","no",5,3,3,1,1,5,3,11,13,13,1,FALSE
"106","F",15,"U","GT3","T",3,2,"services","other","home","yes","yes","GP","mother",2,2,0,"yes","yes","yes","no","yes","no",4,3,5,1,1,2,21,9,8,8,1,FALSE
"107","M",15,"U","GT3","A",3,4,"services","other","course","yes","yes","GP","mother",1,2,0,"no","yes","yes","yes","yes","no",5,4,4,1,1,1,0,16,17,17,1,FALSE
"108","F",15,"U","GT3","A",3,3,"other","health","reputation","yes","no","GP","father",1,4,0,"yes","no","no","no","yes","no",4,3,3,1,1,4,10,10,10,10,1,FALSE
"109","F",15,"U","GT3","T",2,2,"other","other","course","yes","yes","GP","mother",1,4,0,"yes","yes","yes","no","yes","no",5,1,2,1,1,3,6,8,9,9,1,FALSE
"110","M",16,"U","GT3","T",3,3,"services","other","home","yes","yes","GP","father",1,3,0,"no","yes","no","yes","yes","no",5,3,3,1,1,5,3,14,16,16,1,FALSE
"111","M",16,"U","GT3","T",3,3,"services","other","home","yes","yes","GP","father",1,2,0,"no","yes","no","yes","yes","no",4,2,3,1,2,4,1,14,15,16,1.5,FALSE
"112","M",15,"R","GT3","T",4,4,"other","other","home","yes","yes","GP","father",4,4,0,"no","yes","yes","yes","yes","yes",1,3,5,3,5,1,7,11,12,12,4,TRUE
"113","F",16,"U","LE3","T",4,4,"health","health","other","yes","yes","GP","mother",1,3,0,"no","yes","yes","yes","yes","yes",5,4,5,1,1,4,3,14,15,15,1,FALSE
"114","M",15,"U","LE3","A",4,4,"teacher","teacher","course","yes","yes","GP","mother",1,1,0,"no","no","no","yes","yes","no",5,5,3,1,1,4,5,16,16,16,1,FALSE
"115","F",16,"R","GT3","T",3,3,"services","other","reputation","yes","yes","GP","father",1,3,0,"yes","yes","no","yes","yes","no",4,1,2,1,1,2,2,9,10,10,1,FALSE
"116","F",16,"U","GT3","T",2,2,"at_home","other","home","yes","yes","GP","mother",1,2,1,"yes","no","no","yes","yes","no",3,1,2,1,1,5,9,9,12,12,1,FALSE
"117","M",15,"U","LE3","T",4,2,"teacher","other","course","yes","yes","GP","mother",1,1,0,"no","no","no","no","yes","no",3,5,2,1,1,3,10,18,18,18,1,FALSE
"118","M",15,"R","GT3","T",2,1,"health","services","reputation","yes","yes","GP","mother",1,2,0,"no","no","no","yes","yes","yes",5,4,2,1,1,5,6,10,9,10,1,FALSE
"119","M",16,"U","GT3","T",4,4,"teacher","teacher","course","yes","yes","GP","father",1,2,0,"no","yes","no","yes","yes","no",5,4,4,1,2,5,4,16,14,15,1.5,FALSE
"120","M",16,"U","GT3","T",4,4,"teacher","teacher","course","yes","yes","GP","father",1,2,0,"no","yes","no","yes","yes","no",4,4,3,2,2,5,9,12,12,12,2,FALSE
"121","M",15,"U","GT3","T",4,4,"other","teacher","reputation","yes","no","GP","father",2,2,0,"no","yes","no","yes","yes","no",4,4,3,1,1,2,3,14,14,15,1,FALSE
"122","M",16,"U","GT3","T",3,3,"other","services","home","yes","yes","GP","father",2,1,0,"no","no","no","yes","yes","no",5,4,2,1,1,5,3,14,14,14,1,FALSE
"123","M",17,"R","GT3","T",1,3,"other","other","course","yes","yes","GP","father",3,2,1,"no","yes","no","yes","yes","no",5,2,4,1,4,5,17,10,9,10,2.5,TRUE
"124","M",15,"U","GT3","T",3,4,"other","other","reputation","yes","yes","GP","father",1,1,0,"no","no","no","no","yes","no",3,4,3,1,2,4,4,14,13,14,1.5,FALSE
"125","F",15,"U","GT3","T",1,2,"at_home","services","course","no","yes","GP","mother",1,2,0,"no","no","no","no","yes","no",3,2,3,1,2,1,1,15,14,14,1.5,FALSE
"126","M",15,"U","GT3","T",2,2,"services","services","home","yes","yes","GP","father",1,4,0,"no","yes","yes","yes","yes","no",5,5,4,1,2,5,6,15,14,14,1.5,FALSE
"127","F",16,"U","LE3","T",2,4,"other","health","course","yes","yes","GP","father",2,2,0,"no","yes","yes","yes","yes","yes",4,2,2,1,2,5,2,14,12,13,1.5,FALSE
"128","M",16,"U","GT3","T",4,4,"health","other","course","yes","yes","GP","mother",1,1,0,"no","yes","no","yes","yes","no",3,4,4,1,4,5,11,13,12,13,2.5,TRUE
"129","F",16,"U","GT3","T",2,2,"other","other","home","yes","yes","GP","mother",1,2,0,"no","no","yes","no","yes","yes",5,4,4,1,1,5,0,10,9,10,1,FALSE
"130","M",15,"U","GT3","T",3,4,"services","services","home","yes","yes","GP","father",1,1,0,"yes","no","no","no","yes","no",5,5,5,3,2,5,1,11,11,10,2.5,TRUE
"131","F",15,"U","LE3","A",3,4,"other","other","home","yes","yes","GP","mother",1,2,0,"yes","no","no","yes","yes","yes",5,3,2,1,1,1,0,8,10,11,1,FALSE
"132","F",19,"U","GT3","T",0,1,"at_home","other","course","no","no","GP","other",1,2,2,"no","yes","no","no","no","no",3,4,2,1,1,5,1,8,9,10,1,FALSE
"133","M",16,"R","GT3","T",4,4,"teacher","teacher","course","yes","yes","GP","mother",1,1,0,"no","no","yes","yes","yes","no",3,5,5,2,5,4,8,16,16,16,3.5,TRUE
"134","F",15,"R","GT3","T",3,4,"services","teacher","course","yes","yes","GP","father",2,3,1,"no","yes","no","no","yes","yes",4,2,2,2,2,5,0,11,6,6,2,FALSE
"135","F",15,"U","GT3","T",1,1,"at_home","other","course","no","yes","GP","mother",3,1,0,"no","yes","no","yes","yes","yes",4,3,3,1,2,4,3,10,6,6,1.5,FALSE
"136","F",17,"U","LE3","T",2,2,"other","other","course","yes","yes","GP","father",1,1,0,"no","yes","no","no","yes","yes",3,4,4,1,3,5,7,12,12,12,2,FALSE
"137","F",16,"U","GT3","A",3,4,"services","other","course","yes","yes","GP","father",1,1,0,"no","no","no","no","yes","no",3,2,1,1,4,5,14,14,12,12,2.5,TRUE
"138","M",15,"R","GT3","T",3,4,"at_home","teacher","course","yes","no","GP","mother",4,2,0,"no","yes","no","no","yes","yes",5,3,3,1,1,5,1,10,6,6,1,FALSE
"139","F",15,"U","GT3","T",4,4,"services","at_home","course","yes","yes","GP","mother",1,3,0,"no","yes","no","yes","yes","yes",4,3,3,1,1,5,2,12,7,8,1,FALSE
"140","M",17,"R","GT3","T",3,4,"at_home","other","course","yes","no","GP","mother",3,2,0,"no","no","no","no","yes","no",5,4,5,2,4,5,1,10,4,5,3,TRUE
"141","F",16,"U","GT3","A",3,3,"other","other","course","no","yes","GP","other",2,1,1,"no","yes","no","yes","yes","yes",4,3,2,1,1,5,2,6,4,5,1,FALSE
"142","M",16,"U","LE3","T",1,1,"services","other","course","yes","no","GP","mother",1,2,2,"no","no","no","no","yes","yes",4,4,4,1,3,5,0,12,11,11,2,FALSE
"143","F",15,"U","GT3","T",4,4,"teacher","teacher","course","yes","yes","GP","mother",2,1,0,"no","no","no","yes","yes","no",4,3,2,1,1,5,3,14,15,14,1,FALSE
"144","M",15,"U","GT3","T",4,3,"teacher","services","course","yes","yes","GP","father",2,4,0,"yes","yes","no","no","yes","no",2,2,2,1,1,3,3,8,10,6,1,FALSE
"145","M",16,"U","LE3","T",2,2,"services","services","reputation","yes","yes","GP","father",2,1,1,"no","yes","no","yes","yes","no",2,3,3,2,2,2,6,10,10,10,2,FALSE
"146","F",15,"U","GT3","T",4,4,"teacher","services","course","yes","yes","GP","mother",1,3,0,"no","yes","yes","yes","yes","no",4,2,2,1,1,5,2,11,12,12,1,FALSE
"147","F",16,"U","LE3","T",1,1,"at_home","at_home","course","yes","yes","GP","mother",1,1,0,"no","no","no","no","yes","no",3,4,4,3,3,1,3,12,12,12,3,TRUE
"148","M",17,"U","GT3","T",2,1,"other","other","home","yes","yes","GP","mother",2,1,3,"no","yes","no","no","yes","no",4,4,3,1,2,4,0,7,4,5,1.5,FALSE
"149","M",17,"U","GT3","T",2,1,"other","other","home","yes","yes","GP","mother",1,1,2,"no","yes","no","no","yes","no",5,4,5,1,2,5,11,7,4,3,1.5,FALSE
"150","F",15,"U","GT3","T",1,1,"other","services","course","yes","yes","GP","father",1,2,0,"no","yes","yes","no","yes","no",4,4,2,1,2,5,0,10,12,12,1.5,FALSE
"151","F",15,"U","GT3","T",3,2,"health","services","home","yes","yes","GP","father",1,2,2,"no","yes","no","no","yes","no",3,3,2,1,1,3,1,8,9,6,1,FALSE
"152","F",15,"U","GT3","T",1,2,"at_home","other","course","no","yes","GP","mother",1,2,0,"no","yes","yes","no","yes","no",4,3,2,1,1,5,4,12,12,12,1,FALSE
"153","M",16,"U","GT3","T",4,4,"teacher","teacher","course","yes","yes","GP","mother",1,2,0,"no","yes","no","no","no","yes",4,4,3,2,2,5,3,12,10,7,2,FALSE
